product,brand,core_score,expert_score,reviews,retail_price,sale_price,terrain,arch_support,weight_men,weight_women,heel_to_toe_men,heel_to_toe_women,release_date,width,update,url,summary
Salomon Sonic 3 Confidence, Salomon,79,75,8,$130,$80 (save 38%), Road, Neutral, Men: 9.5oz , Women: 7.9oz, Men: 10mm , Women: 10mm, Feb 2020, Normal | Normal,NaN,https://runrepeat.com/salomon-sonic-3-confidence,"5 reasons to buy
The underfoot cushioning unit of the Salomon Sonic 3 Confidence is welcomed because it is supportive.
Forward propulsion feels fast and energizing, based on a handful of reviews.
Some users claim that the lacing system and tongue unit are elastic and capable of accommodating the natural shape of the foot.
Several people are happy because this Salomon running shoe has a lightweight build that encourages all-day use.
People have stated that the outsole unit is able to provide traction over the surfaces.
2 reasons not to buy
A few people believe that the midfoot is a bit restrictive.
Some heel slippage has been observed by several individuals.
Bottom line
People are generally happy with the Salomon Sonic 3 Confidence. This road running shoe is appreciated because it has an efficient cushioning system, a reliable traction ability, and a speedy performance. Inversely, the restrictive middle part of the upper and the not-so-secure heel collar are detested.
Fans of Salomon’s road offerings can have fun with the Salomon Sonic 3 Confidence."
Asics Gel Cumulus 20 MX, Asics,80,NaN,132,$120,$75 (save 38%), Road, Neutral, Men: 9.9oz , Women: 8.1oz, Men: 10mm , Women: 10mm, Jan 2019, Normal | Normal,NaN,https://runrepeat.com/asics-gel-cumulus-20-mx,"5 reasons to buy
Many users mentioned that the Asics Gel Cumulus 20 MX is comfortable.
It fits true to size, said some user comments.
A handful of users lauded the great level of support the shoe provides.
The shoe is durable, according to some reviews.
A few lauded the stylish design of the shoe. They said the shoe looks great with jeans and other casual wear.
3 reasons not to buy
A few mentioned that the sole of the Cumulus 20 MX is not flexible.
One user said that the heel cup is too firm.
A couple of runners noted that the upper of the older version is better. They said the upper of the Cumulus 20 MX is not breathable enough.
Bottom line
This MX version of the Cumulus 20 gained mix reviews from the users. Many were satisfied with how comfortable, supportive, and durable the shoe is. However, others are unhappy because the sole felt stiff and the heel cup is too firm. Overall, the shoe needs some improvement but still worth a try."
Adidas Adistar Boost ESM, Adidas,95,88,318,$170,$70 (save 59%), Road, Stability, Men: 10.7oz , Women: 10.7oz, Men: 11mm , Women: 11mm,NaN, Normal | Normal,,https://runrepeat.com/adidas-adistar-boost-esm,"6 reasons to buy
The flexible upper unit provide seamless support for the comfort of the runner.
Runners were satisfied with the shoe's external heel counter that improves fit on the rear area.
The color options for the Boost ESM were appreciated by those who want more aesthetic choices.
The boost™ mid-sole technology offers energy returns while also making sure that the foot is well-supported.
A significant number of runners applauded the cushioning system of the shoe that delivers a smooth and responsive ride.
Reviewers noted the efficacy of the outsole rubber in terms of traction.
3 reasons not to buy
The Adistar Boost ESM is an expensive running shoe.
There were complaints that the mid-sole was a bit stiff and unresponsive.
Most were worried that the outsole was too thin to be as efficient on a long-term basis.
Bottom line
The Adistar Boost ESM from Adidas is a running companion that testers generally enjoyed. The high quality materials that were used for the shoe work well. It’s a shoe that offers mild support in the mid-foot while being a reliable gear for neutral runners."
New Balance Leadville v3, New Balance,91,82,166, $125,NaN, Trail, Stability, Men: 10.3oz , Women: 8.7oz, Men: 8mm , Women: 8mm,NaN, Normal | Normal,NaN,https://runrepeat.com/new-balance-1210-v3,"9 reasons to buy
The upper unit is constructed to deliver a debris-free performance, based on most reviews.
A large number of runners acclimated to the N2 Cushioning tech that’s found in the forefoot area, getting added springiness to the front area of the shoe.
The 3rd version of the Leadville features the Vibram outsole unit, a strong yet efficient layer.
A handful of expert reviewers were united in saying that the 3rd edition of the Leadville is the most breathable of this series.
Some runners use it for a variety of trail surfaces, including a taste of the road from time to time.
A few testers were pleasantly surprised by the outsole’s ability to shed off mud.
The out of the box comfort and performance of the New Balance Leadville v3 has been simply spectacular, based on the comments of a large number of reviewers.
Several testers affirmed that the shoe dries quickly.
It is lighter than the numbers on the scale show.
5 reasons not to buy
Some runners noted that the sole unit wore down quickly after a few months.
There were complaints that the heel area was not as well-cushioned as the forefoot area.
It has a high price.
A few expert reviewers found out that the exceptional underfoot protection compromised ground feedback.
The upper is not as good as the competition in providing a secure and stable fit, as experienced by a small number of runners.
Bottom line
The Leadville v3, also called 1210 v3, from New Balance offers protection, flexibility and traction to those who want to get more for their performance on the trails. It’s sleek and great to wear for runners who want a bit of support for their feet during their adventures."
Newton Kismet, Newton,94,85,88,$130,$30 (save 77%), Road, Stability, Men: 9.7oz , Women: 8.2oz, Men: 5mm , Women: 5mm,NaN, Normal | Normal, Newton Kismet 6,https://runrepeat.com/newton-kismet,"5 reasons to buy
The Kismet is a lightweight pair of shoe.
It features the breathable seamless mesh upper.
The Newton Kismet features the extended medial bridge for enhanced stability.
Some runners were satisfied with the cushioning and stability features of the shoe.
It features 360 degree reflectivity for increased visibility in low light.
3 reasons not to buy
Not durable as expected, according to some reviews.
Laces are not long enough, according to some testers.
A slightly expensive running shoe.
Bottom line
The Newton Kismet is a stability running shoe that is light weight and comfortable. This shoe will improve your running experience with its cushioning and comfort. This shoe is great for competitions and daily training. Based on the user reviews, the Kismet has proven to be a reliable running companion."
Puma Speed Sutamina, Puma,91,92,8,$100,$50 (save 50%), Road, Neutral, Men: 8.8oz , Women: 8.5oz, Men: 12mm , Women: 12mm,NaN," Normal | Normal, Wide",NaN,https://runrepeat.com/puma-speed-sutamina,"6 reasons to buy
A few wearers laud the comfort of the Puma Speed Sutamina. 
Many runners are surprised by the lightness of the running shoe. 
It amplifies speed, reviewed several testers. 
Some purchasers hail the shoe for its reliable security.
The road running shoe has a sturdy build, claimed several buyers. 
Multiple commenters commend the grippy traction of the neutral shoe.
3 reasons not to buy
According to some testers, the midsole of the shoe is too soft. 
There is minimal arch support, observed several users. 
It does not offer ample protection from impact, expressed a number of customers.
Bottom line
Loaded with all the features expected from a lightweight running shoe, the Speed Sutamina from Puma targets speed and comfort. With the design principle behind the running shoe, athletes are equipped with ultimate support and ground adherence. Offered at an affordable price, the road running shoe is perfect for runners are tight on budget but want a platform packed with innovative components."
Reebok Harmony Road, Reebok,94,85,55, $120,NaN, Road, Neutral, Men: 10.4oz , Women: 8.6oz, Men: 10mm , Women: 10mm, Feb 2017, Normal | Normal, Reebok Harmony Road 3.5,https://runrepeat.com/reebok-harmony-road,"9 reasons to buy
Many of the users admired the overall comfortable feel of the Reebok Harmony Road because of the combination of the upper’s seamless construction and the soft nature of the material.
The mesh upper is very breathable, as noted in some comments.
Some of the runners were happy with the shoe’s lightweight construction.
A lot of marathoners said that they were happy with the long-lasting cushioning of the shoe.
Several wearers mentioned that they did not experience heel pain because of the good heel cushioning of the Harmony Road.
Some of the users with medium foot measurements appreciated the wide toe-box, which allowed their toes to move freely while running.
A majority of the runners were happy with the shoe’s high-quality construction.
A significant number of wearers lauded the good-looking design of the shoe.
It runs true to size, according to some users.
2 reasons not to buy
A few number of runners mentioned that the shoe felt too narrow for their feet.
A couple of purchasers found the Harmony Road slightly expensive.
Bottom line
Overall, this running shoe gained a positive impression from road runners and marathoners. They were generally satisfied with the shoe’s performance-driven design and the innovative technologies incorporated into it. With its long-lasting cushioning, the Harmony Road is best for long-distance running."
New Balance Summit Unknown, New Balance,87,87,154,$110,$60 (save 45%), Trail, Neutral, Men: 8.6oz , Women: 7.4oz, Men: 10mm , Women: 10mm, Apr 2018," Normal, Wide, X-Wide | Normal, Wide", New Balance Summit Unknown v2,https://runrepeat.com/new-balance-summit-unknown,"5 reasons to buy
The sizing scheme of the New Balance Summit Unknown worked well with the expectations of many testers.
Several consumers noted that the upper unit was sufficiently breathable.
Those who have tried it greatly appreciated the lightweight nature of this running shoe.
The traction capacity of the outsole tread was deemed reliable. People also stated that it even handled technical trails with ease.
The upper unit was able to drain water well, a reviewer noted.
3 reasons not to buy
The tongue unit tended to deviate from its regular position, so several users had to cut anchor points on it to allow the laces to loop through them.
A tester felt that the width was a bit narrow.
According to a reviewer, the thin insole tended to slide forward and bunch up against the toe box.
Bottom line
People were mostly happy with the performance of the New Balance Summit Unknown. They welcomed its breathable and quick-draining upper unit, the sure traction of the semi-aggressive outsole, and the lightweight construction. Conversely, some runners were taken aback by the deviating tongue unit while others didn’t appreciate width profiles. Overall, this neutral trail shoe is divisive, but it’s still got its fair share of appreciation."
Saucony Cohesion 10, Saucony,90,NaN,4612,$60,$40 (save 33%), Road, Neutral, Men: 9.9oz , Women: 8.5oz, Men: 12mm , Women: 12mm, Apr 2017," Normal, Wide | Normal, Wide", Saucony Cohesion 13,https://runrepeat.com/saucony-cohesion-10,"11 reasons to buy
A large number of the reviewers commented that the 10th edition of the Cohesion was extremely comfortable.
It is very affordable.
It is lighter than the previous model.
The shoe has surprisingly good durability, considering its price point, as reported by many runners.
There were several reviewers who loved the way the shoe feels despite hours of work on their feet.
More than a handful stated that they got compliments for how the Cohesion 10 looks.
A good number of runners mentioned that they did not a break in period in this shoe.
The support is highly appreciated by some runners and gym rats.
Some reviewers use it for gym workouts.
Available in multiple colors and widths.
Features reflective elements for low-light running.
3 reasons not to buy
A handful noted that the forefoot cushioning is noticeably stiffer than the earlier model.
It runs a little small and narrow, according to a few runners.
The outsole grip is not as good when it rains, as noticed by some runner.
Bottom line
The Saucony Cohesion 10 is clearly a steal when one recognizes its value as a hard-nosed trainer or as a long-distance runner. While this lacks the best technologies from Saucony, it does offer a no-nonsense approach to those who require a moderately cushioned neutral shoe that does exactly and a bit more than expected. This lightweight running shoe is also perfect for those who are recreational runners, middle of the pack participants, entry-level runners and those who are budget conscious."
New Balance Fresh Foam Hierro v4, New Balance,84,68,129,$135,$84 (save 38%), Trail, Neutral, Men: 11.4oz , Women: 9.4oz, Men: 8mm , Women: 8mm, Jan 2019," Normal, Wide | Normal, Wide", New Balance Fresh Foam Hierro v5,https://runrepeat.com/new-balance-fresh-foam-hierro-v4,"7 reasons to buy
Most of the users said that the New Balance Fresh Foam Hierro v4 is a very comfortable shoe.
This shoe delivers impressive ground contact, a few noticed.
Many runners lauded the lightweight design of the Hierro v4.
A few mentioned that the shoe has a very soft cushioning. One said it feels like pillows for the feet.
Several wearers said that aside from running activities, the shoe is also comfortable for walking and everyday wear.
The grip brought by the Vibram outsole is impressive, based on some user reviews.
Some purchasers admired the shoe’s eye-catching design and appealing color options.
5 reasons not to buy
Several buyers were disappointed because the shoe runs smaller than the usual.
The Fresh Foam Hierro 4 is slightly expensive.
Some runners were unhappy because the fabric in the upper area is not as durable as expected.
It fits too narrow than expected, said some users.
According to a few wearers, the cleatie construction made the shoe difficult to put on.
Bottom line
A neutral shoe designed for the trail, the New Balance Fresh Foam Hierro v4 received mixed comments from the users. Positive reviews were about the shoe’s comfortable cushioning, great ground contact and pleasing design while the negative ones are about its fit, sizing, and durability. Overall, users thought that it is a good shoe that also needs improvement."
Salomon Trailster GTX, Salomon,89,NaN,318, $120,NaN, Trail, Neutral, Men: 11.8oz , Women: 9.9oz, Men: 10mm , Women: 10mm,NaN, Normal | Normal,NaN,https://runrepeat.com/salomon-trailster-gtx,"5 reasons to buy
People state that the grip capacity of the Salomon Trailster GTX’s outsole unit is dependable.
Most consumers have lauded the durability of this trail running shoe, claiming that the materials are able to last long.
The GORE-TEX® upper is praised for providing sufficient protection against water infiltration.
Purchasers praise the sizing scheme of this Salomon running shoe; they have deemed the in-shoe experience to be adherent to expectations.
A handful of runners like the collar padding because it can hold the foot in place and prevent slipping.
1 reasons not to buy
A couple of testes have complained of skin irritation due to the tongue unit rubbing uncomfortably against the bridge of the foot.
Bottom line
The general response for the Salomon Trailster GTX has been positive. People like this product’s capacity to handle the trails and the elements. The outsole’s traction ability and the upper’s waterproof mechanism have become the highlights, with individuals stating that these features permit confidence and proficient performance. On the other hand, some have expressed their concerns with the irritating construction of the tongue unit.
Enthusiasts of neutral running shoes that are for the trails are the ones who are likely to enjoy the Salomon Trailster GTX."
Adidas Kanadia 8, Adidas,92,87,900, $80,NaN, Trail, Neutral, Men: 9.7oz , Women: 8.3oz, Men: 8mm , Women: 8mm, Oct 2016, Normal | Normal,,https://runrepeat.com/adidas-kanadia-8,"10 reasons to buy
Most reviewers expressed amazement at the Kanadia 8’s superior comfort.
It is very affordable.
There are 6 color options.
Some runners loved the lightweight ride of this shoe.
A good number of users valued the traction of the 8th version of the Kanadia.
A few appreciated the good ground feedback.
It handles different types of outdoor surfaces with ease, according to a handful of runners.
It is very durable, as noted by some trail enthusiasts.
The support is there despite the shoe being rather light.
A small number of runners observed that the entire shoe is very easy to clean.
3 reasons not to buy
Many runners commented that the new version looks bulkier than the previous model.
Some users remarked that it’s not as breathable as before.
The 8th edition of the Kanadia is slightly narrow and small, according to more than a few runners.
Bottom line
The Adidas Kanadia 8 is a wallet-friendly trail training partner that works as designed. Without any fuss, the shoe delivers exceptional comfort, good cushioning, adequate support and tons of comfort on challenging trails. Anyone who is looking for a reliable and solid Adidas trail trainer should give this neutral running shoe a very good look."
On Cloudrush, On,88,83,541, $130,NaN, Road, Neutral, Men: 7.8oz , Women: 6.7oz, Men: 5mm , Women: 5mm,NaN, Normal | Normal,NaN,https://runrepeat.com/on-cloudrush,"5 reasons to buy
Various consumers were amazed at how lightweight yet cushioned the On Cloudrush
The upper had a glove-like fit, according to many commenters.
Some users thought the midsole was responsive.
One reviewer said the Cloudrush was the fastest shoe they have ever worn.
The CloudTec pods worked well in enabling a soft landing and an energized toe-off, a runner stated.
4 reasons not to buy
A few reviewers thought the shoe did not look durable and felt that it might not withstand long runs.
The Cloudrush was not as comfortable as it claimed to be, a customer said.
One runner mentioned it was too firm despite the CloudTec pods on the outsole.
Another user reported suffering from foot fatigue after wearing the shoe for an entire day.
Bottom line
The On Cloudrush received mixed reviews from consumers. Many were satisfied with the performance of the shoe, and some were impressed with the features. However, there were a few complaints regarding the comfort. Overall, the Cloudrush proved to be a reliable footwear that delivered a responsive ride and efficient technology."
Jordan Zoom Trunner Ultimate, Jordan,90,90,6,$150,$120 (save 99%)," Road, Treadmill", Neutral,NaN,NaN,NaN,NaN, May 2020, Normal | Normal,NaN,https://runrepeat.com/jordan-zoom-trunner-ultimate,"6 reasons to buy
The Jordan Zoom Trunner Ultimate is comfortable to wear, based on reviews. 
Many runners testify that this running shoe is responsive. 
The upper unit is breathable, some wearers claim. 
It is supportive, according to several consumers. 
This running partner offers a soft and bouncy feel, said some commenters. 
A lot of purchasers admire the Zoom Trunner Ultimate’s unique design.
2 reasons not to buy
A couple of testers noticed that this running shoe is hard to put on. 
A few buyers dislike the thin heel collar of the Jordan Zoom Trunner Ultimate.
Bottom line
The Jordan Zoom Trunner Ultimate is a high-performance running shoe that is ideal for runners with neutral gaits or those who supinate. Its dynamic design offers a blend of support and cushioning, making the platform suitable for conditioning runs and speed training. This shoe is recommended for consumers seeking a comfortable, breathable, and durable running companion.
 "
Nike Epic Phantom React Flyknit Icon Clash, Nike,85,NaN,8,$150,$117 (save 35%), Road, Neutral,NaN,NaN,NaN,NaN,NaN, Normal | Normal,NaN,https://runrepeat.com/nike-epic-phantom-react-flyknit-icon-clash,"5 reasons to buy
The Nike Epic Phantom React Flyknit Icon Clash is considered a visually endearing product that isn’t too flashy.
Several consumers believe that the slip-on design of this neutral running shoe allows them to quickly access the in-shoe experience.
The general durability of the materials is deemed reliable and spot-on with expectations.
Some individuals have stated that the upper unit is suitably breathable for extended running sessions.
According to most testers, the fabrics have a non-irritating construction that prevents hot spots and chafing.
2 reasons not to buy
A few people don’t feel very supported by the midsole during their all-day activities.
A couple of runners have noted that the forefoot section is a bit restrictive.
Bottom line
The Nike Epic Phantom React Flyknit Icon Clash is still the same uncluttered yet cool-looking running shoe that can be used for anything. The Icon Clash distinction melds sports-oriented apparel with the versatile yet accessible color schemes of stylish accoutrements for women. The predominant black silhouette of this shoe hints of crimson and bronze to bring out style without being too much."
Under Armour Charged Intake 3, Under Armour,96,88,461,$100,$52 (save 48%), Road, Neutral, Men: 10oz , Women: 10oz, Men: 10mm , Women: 10mm,NaN, Normal | Normal, Under Armour Charged Intake 4,https://runrepeat.com/under-armour-charged-intake-3,"8 reasons to buy
A significant number of users noted that the Under Armour Charged Intake 3 is comfortable.
Several buyers commented that the shoe has a wide toe box.
The majority of the purchasers admired its lightweight structure.
One of the consumers said that he had not experienced any tight spots or blisters during and after his running activity.
Many users loved the Under Armour Charged Intake 3's perfect fit.
According to those who have tried it, the shoe has good quality.
Based on some reviews, the footwear is not only suited for running and walking but also best to wear with jeans on casual days.
The running shoe is supportive, according to several consumers.
1 reasons not to buy
One of the wearers said that the Under Armour Charged Intake 3 looked a little bulky when compared to other Under Armour shoes.
Bottom line
Designed for road running, the Under Armour Charged Intake 3 gained positive response from a lot of runners and shoe enthusiasts. The sizing and width profiles were also lauded, as well as its quality construction. Despite the issue on its bulky appearance, in general, the majority of the purchasers recommend this shoe because of its versatile design and performance on the roads."
Mizuno Wave Universe 5, Mizuno,88,88,58, $125,NaN, Road, Neutral, Men: 2.8oz , Women: 2.2oz, Men: 2mm , Women: 2mm,NaN, Normal | Normal,,https://runrepeat.com/mizuno-wave-universe,"4 reasons to buy
Many runners valued the lightweight and flexible construction of the Mizuno Wave Universe 5.
The U4ic technology in the midsole is resilient and offers a smooth ride.
The G3 SOLE technology promotes great ground feel and superior traction.
Some took note of the comfortable construction of the Universe 5.
4 reasons not to buy
Some runners mentioned that the Wave Universe 5 looks ugly compared to the previous version.
According to some reviews, the shoe becomes too tight when worn with socks.
Others felt that the shoe lacks the necessary cushioning and support because of its light construction.
The Mizuno Wave Universe 5 is expensive.
Bottom line
The Mizuno Wave Universe 5 is a lightweight running shoe that offers minimal arch support, flexibility and smooth transition with every step. This shoe will not disappoint runners who are looking for a durable, fast and superior ride. With the technology used, this shoe is really a great racing partner."
Asics Gel Kenun, Asics,88,86,279,$130,$45 (save 65%), Road, Neutral, Men: 11.2oz , Women: 9.1oz, Men: 10mm , Women: 10mm,NaN, Normal | Normal, Asics Gel Kenun 2,https://runrepeat.com/asics-gel-kenun,"7 reasons to buy
Some testers commented that the Asics Gel Kenun delivered excellent foot support.
A handful of runners appreciated the amount of grip the shoe provided.
Many purchasers said that it was comfortable.
Several wearers agreed that the shoe performed well on both indoor and outdoor walking and running activities.
Most of the purchasers loved its incredible cushioning.
Several wearers commented that the Asics Gel Kenun was lightweight.
Many reviewers loved its underfoot feel.
2 reasons not to buy
Based on observations, the shoe has a narrow toe box.
A good number of consumers said that it was expensive.
Bottom line
Overall, the majority of the purchasers said that the Asics Gel Kenun is an excellent option for those who want a well-cushioned, supportive and comfortable running shoe. They appreciated its incredible grip and underfoot-feel. They loved wearing the shoe on walking and running activities. Although several of them said that it has a narrow toe box, others still recommended the Asics Gel Kenun because of its remarkable performance."
The North Face Flight Trinity, The North Face,76,87,9,$140,$84 (save 40%), Trail, Neutral, Men: 9.8oz , Women: 8oz, Men: 8mm , Women: 8mm, Feb 2019, Normal | Normal,NaN,https://runrepeat.com/the-north-face-flight-trinity,"5 reasons to buy
The majority of those who have tested The North Face Flight Trinity like the grip capacity of the outsole unit, stating that the rubber is reliable and efficient.
A handful of runners welcome the breathable upper unit of this running shoe, claiming that the ventilation is relaxing.
Some consumers have lauded the lightweight structure of this product, believing that they could handle many obstacles because of the unrestrictive weight.
The bright and welcoming façade has received positive remarks from trail enthusiasts.
The versatility of the construction is praised; people claim that they can effortlessly use the shoe for multiple activities.
2 reasons not to buy
Several people have lamented the quickly wearing gripping lugs of the outsole unit.
The upper unit has developed tears after only a few uses, according to a surprising amount of testers.
Bottom line
Enthusiasts of off-road treks and soirees are given a chance to rejoice because of The North Face Flight Trinity. While the positive feedback for this trail companion is truly commendable, the negative points have prevented it from becoming one of the go-to classics for adventures on the unpredictable outdoor paths. The lightweight construction, the traction-ready outsole, and the breathability became highlights, but the flimsiness of the gripping lugs and the quick-to-rip upper unit overshadowed them. Neutral pronators and trail voyagers are the intended market of The North Face Flight Trinity."
Merrell Overedge, Merrell,76,NaN,9,$70,$56 (save 99%), Trail, Neutral, Men: 14.1oz , Women: 12.3oz, Men: 0mm , Women: 0mm,NaN, Normal | Normal,NaN,https://runrepeat.com/merrell-overedge,"8 reasons to buy
Some of the buyers commented that the Merrell Overedge is comfortable.
According to those who have bought it, the shoe is lightweight.
It provides a great fit, as noted by a few testers.
The shoe has a roomy toe box, a purchaser observed.
Based on a review, the shoe is supportive.
One of the consumers said that the shoe is protective.
A reviewer commented that the running footwear is flexible.
A few buyers noted that the shoe is best used for walking and gym activities.
2 reasons not to buy
One of the testers thinks that the Merrell Overedge has poor quality because the material used in making the shoe is thin.
A user commented that the shoe does not provide enough protection when training.
Bottom line
The Merrell Overedge has made the majority of the users overwhelmed and contented. They were appreciative of the structure and performance of the shoe. Because of the comfort level, flexibility, and support the shoe provides, a lot of them lauded it. Although one of the users expressed his concern with its low quality, others still recommend the Merrell Overedge for those who are looking for a comfortable and well-performing running shoe."
Nike Air Zoom Wildhorse 5, Nike,89,87,62,$110,$95 (save 100%), Trail, Neutral,NaN,NaN, Men: 8mm , Women: 8mm, Apr 2019, Normal | Normal, Nike Air Zoom Wildhorse 6,https://runrepeat.com/nike-air-zoom-wildhorse-5,"6 reasons to buy
Most users mentioned that the Nike Air Zoom Wildhorse 5 offers a nice blend of cushioning and ground feel.
The shoe has a roomier toe-box than the previous version, noted in some reviews.
A few lauded the laced of the shoe that stayed tight all through the run.
Many runners commented that the grip of the Wildhorse 5 is excellent.
According to some reviews, the shoe is durable.
A couple of buyers said that the shoe performs both on-road and off-road surfaces.
1 reasons not to buy
A few mentioned that the Wildhorse 5 runs smaller than usual.
Bottom line
The Nike Air Zoom Wildhorse 5 is a trail running shoe designed for neutral runners. The shoe gained positive feedback from users. Some admired the shoe’s durability and grip while others are satisfied with the shoe’s roomy toe-box and cushioning. In summary, the Wildhorse 5 is indeed a successful update to the old version."
Nike Free RN Flyknit, Nike,88,82,7923,$130,$60 (save 54%), Road, Neutral, Men: 7.6oz , Women: 6.4oz, Men: 8mm , Women: 8mm,NaN, Normal | Normal, Nike Free RN Flyknit 3.0,https://runrepeat.com/nike-free-rn-flyknit,"7 reasons to buy
Many were impressed by Nike Free RN Flyknit’s breathable upper coverage.
A number of runners mentioned that the cushioning is just right.
The outsole provides reliable traction while enhancing flexibility.
Many runners applauded the design of the shoe.
A significant number of runners said that the shoe is comfortable.
The shoe is available in different color options.
It is lightweight.
3 reasons not to buy
A handful of runners mentioned that they experienced blisters around the heel area.
Some users were disappointed with the shoe’s durability. The upper material wore out quickly after a few use.
Some runners found the shoe to be too narrow for their preferences.
Bottom line
A neutral shoe designed for road running, the Free RN Flyknit offers flexibility and responsiveness. Some users were impressed by the shoe's breathability, traction and comfort while others have issues with its durability and narrow fit. Overall, the shoe is still a reliable partner for daily training and short distance road running."
Adidas Pureboost RBL, Adidas,89,75,186,$160,$80 (save 50%), Road, Neutral,NaN,NaN, Men: 8mm , Women: 8mm,NaN, Normal | Normal,NaN,https://runrepeat.com/adidas-pureboost-rbl,"6 reasons to buy
The Adidas Pureboost RBL was perfect for both city running and walking, according to several wearers.
Numerous runners were pleased with the water-repellent feature of the shoe.
There were a lot of positive comments regarding the shoe’s design. Others also mentioned the suitability of the shoe for casual wear.
A lot of reviewers claimed the Pureboost RBL was a comfortable shoe.
The shoe provided excellent heel support, especially during running, said a commenter.
The Pureboost RBL was able to maintain a stable ride on uneven surfaces, stated a buyer.
3 reasons not to buy
One wearer thought the shoe fit smaller than expected.
The sides of the shoe wore down quickly, a disappointed user said.
A commenter reported that the side of the shoe got soaked easily after running on wet pavement.
Bottom line
The Adidas Pureboost RBL was a fantastic running shoe according to several users, based on favorable comments regarding its performance. There were a few who doubted the shoe’s durability and longevity. Despite some criticisms, many purchasers have concluded that the Adidas Pureboost RBL was a good investment for a neutral running shoe."
Saucony Ride 10, Saucony,91,89,719, $120,NaN, Road, Neutral, Men: 9.5oz , Women: 8.4oz, Men: 8mm , Women: 8mm, May 2017," Normal | Narrow, Normal", Saucony Ride 13,https://runrepeat.com/saucony-ride-10,"6 reasons to buy
The in-shoe experience of the Saucony Ride 10 was considered by a lot of runners to be smooth and form-fitting.
People have commented that the underfoot experience given by this running shoe was responsive.
A lot of purchasers stated that they were able to wear the Ride 10 for extended periods as it was comfortable to wear.
This product didn’t need a break-in period, several users reported.
Some heavyset runners were happy with the full-bodied midsole because its foam compound was able to support their weights and their gait transitions.
The weight of the product was generally welcomed because it apparently didn’t hold the foot down or mar the natural speed of the run.
3 reasons not to buy
Some consumers complained that the fabric on the sides of the Saucony Ride 10 tore apart after only a few uses.
A handful of testers commented that the fit was a bit narrower than what they expected.
A couple of users felt that the outsole’s traction capacity was not very reliable on wet surfaces, stating that they experienced some slippage.
Bottom line
The Ride 10 from Saucony had received mostly positive feedback from the runners who have tried it. This companion for the roads was lauded for having a cover system that accommodated the natural form of the foot, hugging it smoothly and non-irritatingly. The cushioning system was also highlighted for being comfortable from the beginning as well as highly efficient at supporting various weight profiles. But on the flip-side, there were complaints about the durability of the upper, the narrowness of the in-shoe experience, the smaller-than-usual sizing options, and the flimsiness of the outsole traction."
Nike Free RN Commuter 2018, Nike,90,NaN,148,$110,$60 (save 45%), Road, Neutral, Men: 9.2oz , Women: 7.3oz, Men: 8mm , Women: 8mm,NaN, Normal | Normal,NaN,https://runrepeat.com/nike-free-rn-commuter-2018,"7 reasons to buy
The Nike Free RN Commuter 2018 is a very comfortable shoe, said some satisfied users.
Several runners admired the futuristic design of the shoe; they said it is good looking and eye-catching.
A couple of purchasers were happy with the shoe's toggle lacing; they said it is easy to adjust.
According to some user comments, the shoe feels light.
Some users noticed that the Free RN Commuter 2018 fits like a sock.
Many buyers also used the shoe for walking and gym training activities.
A few noted that the slip-on design makes the shoe easy to put on and remove.
2 reasons not to buy
Some reviewers remark that the heel area lacks cushioning.
The durability of the shoe is doubtful to some purchasers.
Bottom line
The Nike Free RN Commuter 2018 is a road shoe trusted by most runners. The majority of those who tried the shoe admired its design, fit and versatility. A few have issues with durability, but it was not an issue for the majority. In summary, the shoe was a fantastic addition to the Nike Free RN family. "
Nike Air Zoom Pegasus 36 Trail GTX, Nike,89,94,16, $160,NaN, Trail, Neutral,NaN,NaN,NaN,NaN,NaN, Normal | Normal,NaN,https://runrepeat.com/nike-air-zoom-pegasus-36-trail-gtx,"6 reasons to buy
The majority of the runners claim that the Nike Air Zoom Pegasus 36 Trail GTX is comfortable. 
Numerous users noted that the shoe provides great traction on various surfaces. 
A couple of consumers expressed that the shoe has kept their feet dry. 
One reviewer mentioned that shoe offers a responsive and bouncy ride. 
Many have appreciated the shoe’s waterproof upper. 
This running shoe is lightweight, according to some purchasers.
3 reasons not to buy
Some buyers are worried about the shoe’s durability. 
A few commenters are not satisfied with the available color options. 
The toe box is a bit narrow, based on some reviews. 
Bottom line
The Nike Air Zoom Pegasus 36 Trail GTX received a mixed response from the consumers. Many runners have appreciated the Gore-Tex® mesh upper of this trail running shoe as it enables them to continue even in wet conditions. This running shoe proves to be a great companion in damp and cold conditions because it effectively keeps the foot warm and dry."
